거래처명,구분,사업자번호,대표자명,업태,종목,주소,전화번호,팩스번호,휴대폰,이메일,대신화물_지점,경동화물_지점,담당자명,담당자연락처,메모,사용여부
현도철물,고객업체 (판매),,박희상,소매,"철물,잡화화",충청북도 청원군 현도면 죽전길 6,043-269-5657,,,,,,,,,활성
부성종합상사,혼합 (판매+구매),,양상규,도소매업,철물건재,충남 천안시 서북구 성환읍 신방로 330,041-581-1127,041-581-1126,,,,,,,,활성
주식회사 자산,혼합 (판매+구매),,황구수,도매및 상품중개업,농업용기계및장비,"대구광역시 중구 북성로4길 7-17, 2층(인교동)",053-257-1213,053-289-1213,,,,,,,,활성
한일종합건재,혼합 (판매+구매),,김동규,도매업,건축자재,충남 천안시 서북구 성환읍 성환리 449-112,,041-581-0205,,,,,,,,활성
풍성한상사,혼합 (판매+구매),,이사랑,,,,,,,,,,,,,활성
유영찬,혼합 (판매+구매),,,,,,,,,,,,,,,활성
알파연마테크,혼합 (판매+구매),,장석호,,,경기도 여주시 강천면 강문로 694,031-886-6351,031-637-6354,,,,,,,,활성
(주)신흥이앤씨,고객업체 (판매),251218,박철용,,,경기도 구리시 사노동 400-10,031-575-5191,031-575-5196,,,,,,,,활성
새마을건재,고객업체 (판매),251217-1,유경임,소매업,철물,충남 홍성군 광천읍 신진리 520-36,,,,,,,,,,활성
대일철물 유영찬,고객업체 (판매),,,,,,,,,,,,,,,활성
주식회사 우경메탈,고객업체 (판매),251218,이대형,"건설,도소매",유리및 창호 공사업등등,"경기도 남양주시 다산중앙로123번길 22-30,1동929호호",031-595-4861~2,031-595-4863,,,,,,,,활성
영진건재,혼합 (판매+구매),,,,,충북 보은군 보은읍 보청대로1866,043-544-2268,043-543-5981,,,,,,,,활성
동부철물,혼합 (판매+구매),251215-1,장홍덕,도소매,철물,충북. 괴산군 괴산읍 문무로역고개길 92,043-834-6682,043-834-6681,,,,,,,,활성
일성철물건재,혼합 (판매+구매),,김희용,소매업,철물건재,충북 보은군 보은읍 죽전제방길 4,,,,,,,,,,활성
신성공구,고객업체 (판매),,하태형,도소매,"철물,공구,안전용품품",충남 홍성군 홍성읍 조양로 6,041-633-0909,041-632-2667,,,,,,,,활성
