거래처명,구분,지역,사업자번호,대표자명,업태,종목,주소,전화번호,팩스번호,휴대폰,이메일,대신화물_지점,경동화물_지점,담당자명,담당자연락처,메모
유영찬,,유영찬,,,,,,,,,,,,,,
프라이스다운,,대전시,,,,,,,,,,,,,,
신성공구,,홍성군,,,,,,,,,,,,,,
풍성한상사,,대전시,,,,,,,,,,,,,,
그린종합건재철물,,옥천군,,,,,,,,,,,,,,
유재환,,대전시,,,,,,,,,,,,,,
영진건재,,보은군,,,,,,,,,,,,,,
일로철물,,무안군,,,,,,,,,,,,,,
부성종합상사,,천안시,,,,,,,,,,,,,,
스마트종합건재,,서산시,,,,,,,,,,,,,,
현대철물공구건재,,청양군,,,,,,,,,,,,,,
주식회사 자산,,대구시,,,,,,,,,,,,,,
일성철물건재,,보은군,,,,,,,,,,,,,,
연무 팔팔철물,,논산시,,,,,,,,,,,,,,
(주)태경공구,,남양주시,,,,,,,,,,,,,,
대전건재,,대전시,,,,,,,,,,,,,,
장기종합건재,,세종시,,,,,,,,,,,,,,
문화철물건재,,이천시,,,,,,,,,,,,,,
성진철물,,유영찬,,,,,,,,,,,,,,
우일건재,,옥천군,,,,,,,,,,,,,,
서울철물(평창),,평창군,,,,,,,,,,,,,,
알파연마테크,,여주시,,,,,,,,,,,,,,
공영공구,,청주시,,,,,,,,,,,,,,
하나종합상사,,청주시,,,,,,,,,,,,,,
중부건재,,음성군,,,,,,,,,,,,,,
주식회사구사,,보령군,,,,,,,,,,,,,,
대광공구,,대전시,,,,,,,,,,,,,,
한일종합건재,,천안시,,,,,,,,,,,,,,
대광철물공구,,서산시,,,,,,,,,,,,,,
대일철물,,대전시,,,,,,,,,,,,,,
공음철물,,유영찬,,,,,,,,,,,,,,
드림종합상사,,부산시,,,,,,,,,,,,,,
주식회사 고려철물건재,,논산시,,,,,,,,,,,,,,
충남철물(부여),,부여군,,,,,,,,,,,,,,
신흥철물,,홍성군,,,,,,,,,,,,,,
현대철물,,유영찬,,,,,,,,,,,,,,
명성철물,,유영찬,,,,,,,,,,,,,,
동부철물,,괴산군,,,,,,,,,,,,,,
유림상사,,대전시,,,,,,,,,,,,,,
대명종합건재,,진천군,,,,,,,,,,,,,,
대일하이텍주식회사,,목포시,,,,,,,,,,,,,,
원스톱 종합건축자재,,세종시,,,,,,,,,,,,,,
고덕철물건재,,예산군,,,,,,,,,,,,,,
대흥철물목재공구,,아산시,,,,,,,,,,,,,,
주식회사 대양상사,,화성시,,,,,,,,,,,,,,
전일안전공구,,목포시,,,,,,,,,,,,,,
우리산업안전물산,,보령군,,,,,,,,,,,,,,
칠성철물,,유영찬,,,,,,,,,,,,,,
영광종합건재,,제천시,,,,,,,,,,,,,,
동보건재,,보은군,,,,,,,,,,,,,,
거성종합상사,,홍성군,,,,,,,,,,,,,,
다모아팜,,금산군,,,,,,,,,,,,,,
대명종합전기상사,,진천군,,,,,,,,,,,,,,
(주)신흥이앤씨,,유영찬,,,,,,,,,,,,,,
주식회사 우경메탈,,유영찬,,,,,,,,,,,,,,
가남공구볼트상사,,이천시,,,,,,,,,,,,,,
영신건재,,영천시,,,,,,,,,,,,,,
삼일건재종합상사,,음성군,,,,,,,,,,,,,,
보성PVC,,유영찬,,,,,,,,,,,,,,
한국철물공구건재,,괴산군,,,,,,,,,,,,,,
동일철물,,천안시,,,,,,,,,,,,,,
삼환,,대전시,,,,,,,,,,,,,,
연무철물,,논산시,,,,,,,,,,,,,,
신광철물건재상사,,서산시,,,,,,,,,,,,,,
선일철물점,,고양시,,,,,,,,,,,,,,
현진툴링,,수원시,,,,,,,,,,,,,,
신평종합상사,,금산군,,,,,,,,,,,,,,
대영 종합상사,,논산시,,,,,,,,,,,,,,
용건재,,아산신,,,,,,,,,,,,,,
천재철물상사,,공주시,,,,,,,,,,,,,,
충남철물포장,,유영찬,,,,,,,,,,,,,,
대일철물 유영찬,,유영찬,,,,,,,,,,,,,,
유성홈센타,,완주군,,,,,,,,,,,,,,
대경종합철물,,나주시,,,,,,,,,,,,,,
다판다철물점,,유영찬,,,,,,,,,,,,,,
태양철물(유),,유영찬,,,,,,,,,,,,,,
한국기업 강민기,,대전시,,,,,,,,,,,,,,
유성자재마트,,논산시,,,,,,,,,,,,,,
