품목명,현재재고,매입단가,재고평가액,매입업체,기초재고,기준일자,안전재고,단위
"3D 절단석 @ 4""*16MM",600,450.0,270000.0,,600,2026-09-15,0,
"3D 절단석 @ 5""*16MM",0,0.0,0.0,,0,2026-09-15,0,
"3D골드 절단석 @ 4""*16MM",-180,400.0,-72000.0,,-180,2026-09-15,0,
"3D골드 절단석 @ 5""*16MM",400,500.0,200000.0,,400,2026-09-15,0,
"3M DISC 982C #36 @ 4""",100,0.0,0.0,,100,2026-09-15,0,
"3M DISC CNS XT(PRO) @ 4""",-50,3300.0,-165000.0,,-50,2026-09-15,0,
"3M DISC S/C A-CRS(M10홀더) @ 4""",30,0.0,0.0,,30,2026-09-15,0,
"3M DISC S/C A-VFN(M10홀더) @ 4""",30,0.0,0.0,,30,2026-09-15,0,
"3M DISC S/C LGB HD A-CRS @ 4""",30,0.0,0.0,,30,2026-09-15,0,
"3M DISC S/C LGB SD A-CRS @ 4""",30,0.0,0.0,,30,2026-09-15,0,
"3M DISC 베벨 BL #120 @ 4""",0,6500.0,0.0,,0,2026-09-15,0,
"3M DISC 베벨 BR #180 @ 4""",55,3750.0,206250.0,,55,2026-09-15,0,
"3M DISC 베벨 GR #400 @ 4""",25,3900.0,97500.0,,25,2026-09-15,0,
"3M DISC 베벨 RD #320 @ 4""",20,3750.0,75000.0,,20,2026-09-15,0,
"3M DISC 양모 @ 4""",9,3750.0,33750.0,,9,2026-09-15,0,
"3M DISC 패드 982C @ 4""",3,0.0,0.0,,3,2026-09-15,0,
"3M DISC 플랩 769F #40 @ 4""",10,0.0,0.0,,10,2026-09-15,0,
"3M DISC 플랩 769F #60 @ 4""",20,0.0,0.0,,20,2026-09-15,0,
"3M DISC 플랩 769F #80 @ 4""",20,0.0,0.0,,20,2026-09-15,0,
"3M FLOOR PAD #5100(적색) @ 18""",0,0.0,0.0,,0,2026-09-15,0,
"3M FLOOR PAD #7200(흑색) @ 18""",0,0.0,0.0,,0,2026-09-15,0,
3M MRO 기계세정제 @ 420ML,20,0.0,0.0,,20,2026-09-15,0,
3M MRO 레몬세정제 @ 420ML,13,0.0,0.0,,13,2026-09-15,0,
3M MRO 방청유 K-70 @ 230G,0,1950.0,0.0,,0,2026-09-15,0,
3M MRO 방청유 PL-5 @ 360ML,24,0.0,0.0,,24,2026-09-15,0,
3M MRO 스프레이 #77 @ 455ML,0,6500.0,0.0,,0,2026-09-15,0,
3M MRO 스프레이 #99 @,0,0.0,0.0,,0,2026-09-15,0,
3M MRO 실리콘 루브리컨트 @ 255G,12,0.0,0.0,,12,2026-09-15,0,
3M MRO 접착제거제 @ 200ML,20,0.0,0.0,,20,2026-09-15,0,
3M MRO 크리너(프 MS061Z) @ 420ML,20,0.0,0.0,,20,2026-09-15,0,
3M 귀덮개 H7A,0,0.0,0.0,,0,2026-09-15,0,
3M 귀덮개 H7P3E(보호구),0,0.0,0.0,,0,2026-09-15,0,
3M 귀덮개 H9A,0,0.0,0.0,,0,2026-09-15,0,
3M 귀마개 1100,800,140.0,112000.0,,800,2026-09-15,0,
3M 귀마개 1110,200,320.0,64000.0,,200,2026-09-15,0,
3M 그라인더 4CG,16,26000.0,416000.0,,16,2026-09-15,0,
3M 그라인더 7CG,0,0.0,0.0,,0,2026-09-15,0,
"3M 그라인더 커버 ES @ 5""",70,0.0,0.0,,70,2026-09-15,0,
3M 낙진제거제 @ 38070,0,16500.0,0.0,,0,2026-09-15,0,
"3M 리지드 그라인딩디스크@ 7""*8T",0,1400.0,0.0,,0,2026-09-15,0,
3M 마스크 방진1급 @ 8822,0,1500.0,0.0,,0,2026-09-15,0,
3M 마스크 방진1급 @ 8922,240,1450.0,348000.0,,240,2026-09-15,0,
3M 마스크 방진1급 @ 9322,0,1580.0,0.0,,0,2026-09-15,0,
3M 마스크 방진1급(접이식) @ 8955K,88,1700.0,149600.0,,88,2026-09-15,0,
