날짜,거래처,품목,수량,단가,공급가액,부가세,참조
2019-05-31,동산철물건재,,0,0,0,0,이월
2019-05-31,부영설비상사,,0,0,0,0,이월
2019-05-31,(유)부광철물,,0,0,0,0,이월
2019-05-31,(유)진안 피브이씨 자재백화점,,0,0,0,0,이월
2019-05-31,(주)컷팅코리아,,0,0,0,0,이월
2019-05-31,[폐업](주)성민종합상사,,0,0,0,0,이월
2019-05-31,(주)세종건축자재백화점,,0,0,0,0,이월
2019-05-31,(주)중부산업유통,,0,0,0,0,이월
2019-05-31,(주)탑산업안전,,0,0,0,0,이월
2019-05-31,(주)한국건설산업,,0,0,0,0,이월
2019-05-31,(주)현대공조엔지니어링,,0,0,0,0,이월
2019-05-31,2000종합상사,,0,0,0,0,이월
2019-05-31,[폐업]LC머신테크,,0,0,0,0,이월
2019-05-31,가나유성철물건재,,0,0,0,0,이월
2019-05-31,가남공구볼트상사,,0,0,0,0,이월
2019-05-31,강산건재철물,,0,0,0,0,이월
2019-05-31,거산철물공구,,0,0,0,0,이월
2019-05-31,거성종합상사,,0,0,0,0,이월
2019-05-31,경기공구,,0,0,0,0,이월
2019-05-31,계룡건재,,0,0,0,0,이월
2019-05-31,계양공구,,0,0,0,0,이월
2019-05-31,계양전동공구,,0,0,0,0,이월
2019-05-31,고려건재,,0,0,0,0,이월
2019-05-31,고려맨홀철물건재,,0,0,0,0,이월
2019-05-31,공영공구,,0,0,0,0,이월
2019-05-31,광동기업사,,0,0,0,0,이월
2019-05-31,광림안전종합상사,,0,0,0,0,이월
2019-05-31,광성우드,,0,0,0,0,이월
2019-05-31,광일종합건재,,0,0,0,0,이월
2019-05-31,구구볼트,,0,0,0,0,이월
2019-05-31,국제열쇠철물,,0,0,0,0,이월
2019-05-31,그린종합건재철물,,0,0,0,0,이월
2019-05-31,금강건재,,0,0,0,0,이월
2019-05-31,금강철물공구,,0,0,0,0,이월
2019-05-31,금남상사,,0,0,0,0,이월
2019-05-31,금사종합건재,,0,0,0,0,이월
2019-05-31,금성공구마트,,0,0,0,0,이월
2019-05-31,금성철물,,0,0,0,0,이월
2019-05-31,기웅종합볼트,,0,0,0,0,이월
2019-05-31,남향건재,,0,0,0,0,이월
2019-05-31,내촌판넬,,0,0,0,0,이월
2019-05-31,대광베어링유압상사,,0,0,0,0,이월
2019-05-31,대광철물공구,,0,0,0,0,이월
2019-05-31,대광철물상사,,0,0,0,0,이월
2019-05-31,대륙상사,,0,0,0,0,이월
2019-05-31,대림종합건재상사,,0,0,0,0,이월
2019-05-31,대명건축장식,,0,0,0,0,이월
2019-05-31,대명종합전기상사,,0,0,0,0,이월
2019-05-31,대성건철,,0,0,0,0,이월
2019-05-31,대성종합테크,,0,0,0,0,이월
2019-05-31,대성철물건재,,0,0,0,0,이월
2019-05-31,대신산업,,0,0,0,0,이월
2019-05-31,대신상사,,0,0,0,0,이월
2019-05-31,대양종합상사,,0,0,0,0,이월
2019-05-31,대연산업,,0,0,0,0,이월
2019-05-31,대왕종합상사,,0,0,0,0,이월
2019-05-31,대우종합철물공구,,0,0,0,0,이월
2019-05-31,대원건축자재백화점,,0,0,0,0,이월
2019-05-31,대일하이텍주식회사,,0,0,0,0,이월
2019-05-31,대자철물건재,,0,0,0,0,이월
2019-05-31,대전건재,,0,0,0,0,이월
2019-05-31,대전닥트,,0,0,0,0,이월
2019-05-31,대정건업사,,0,0,0,0,이월
2019-05-31,대진종합철물건재,,0,0,0,0,이월
2019-05-31,대평종합건재,,0,0,0,0,이월
2019-05-31,[폐업]대한판넬,,0,0,0,0,이월
2019-05-31,대형공구,,0,0,0,0,이월
2019-05-31,대형공구철물건재,,0,0,0,0,이월
2019-05-31,대호공구,,0,0,0,0,이월
2019-05-31,대흥철물건재,,0,0,0,0,이월
2019-05-31,덕명철물,,0,0,0,0,이월
2019-05-31,덕성종합건재,,0,0,0,0,이월
2019-05-31,덕수철물점,,0,0,0,0,이월
2019-05-31,동명종합상사,,0,0,0,0,이월
2019-05-31,동보건재,,0,0,0,0,이월
2019-05-31,동산건업,,0,0,0,0,이월
2019-05-31,동신종합상사,,0,0,0,0,이월
2019-05-31,동일건재,,0,0,0,0,이월
2019-05-31,[폐업]동진종합상사,,0,0,0,0,이월
2019-05-31,두리공구철물,,0,0,0,0,이월
2019-05-31,둔포정원철물,,0,0,0,0,이월
2019-05-31,드림툴텍,,0,0,0,0,이월
2019-05-31,디엠피정공,,0,0,0,0,이월
2019-05-31,만선종합건재,,0,0,0,0,이월
2019-05-31,명성공구,,0,0,0,0,이월
2019-05-31,명신철강,,0,0,0,0,이월
2019-05-31,모던종합상사,,0,0,0,0,이월
2019-05-31,문일종합공구철물,,0,0,0,0,이월
2019-05-31,문창유압호스,,0,0,0,0,이월
2019-05-31,문화철물건재,,0,0,0,0,이월
2019-05-31,[폐업]미림테크유통,,0,0,0,0,이월
2019-05-31,반석종합건재,,0,0,0,0,이월
2019-05-31,백제건재상사,,0,0,0,0,이월
2019-05-31,복동철물건재,,0,0,0,0,이월
2019-05-31,부광종합상사,,0,0,0,0,이월
2019-05-31,부성종합상사,,0,0,0,0,이월
2019-05-31,부흥종합건재,,0,0,0,0,이월
2019-05-31,삼보건재철물,,0,0,0,0,이월
2019-05-31,삼성건재,,0,0,0,0,이월
2019-05-31,삼성건재상사,,0,0,0,0,이월
2019-05-31,삼성종합상사,,0,0,0,0,이월
2019-05-31,삼일건재종합상사,,0,0,0,0,이월
2019-05-31,상록종합건재,,0,0,0,0,이월
2019-05-31,새론,,0,0,0,0,이월
2019-05-31,새마을건재,,0,0,0,0,이월
2019-05-31,서산철물건재,,0,0,0,0,이월
2019-05-31,서울철물건재,,0,0,0,0,이월
2019-05-31,서울철물안전,,0,0,0,0,이월
2019-05-31,서이천건재철물,,0,0,0,0,이월
2019-05-31,서해철물건재,,0,0,0,0,이월
2019-05-31,선화유통,,0,0,0,0,이월
2019-05-31,성도산업,,0,0,0,0,이월
2019-05-31,성우안전공구,,0,0,0,0,이월
2019-05-31,성은종합공구,,0,0,0,0,이월
2019-05-31,성화종합상사,,0,0,0,0,이월
2019-05-31,수도철물건재,,0,0,0,0,이월
2019-05-31,수옥종합상사,,0,0,0,0,이월
2019-05-31,슈퍼맨안전철물,,0,0,0,0,이월
2019-05-31,[폐업]시온종합상사,,0,0,0,0,이월
2019-05-31,신성철물,,0,0,0,0,이월
2019-05-31,신성테크,,0,0,0,0,이월
2019-05-31,신신태양철물상사,,0,0,0,0,이월
2019-05-31,[폐업]신탄공구종합철물,,0,0,0,0,이월
2019-05-31,신화철물,,0,0,0,0,이월
2019-05-31,[폐업]연무종합상사,,0,0,0,0,이월
2019-05-31,연합건업,,0,0,0,0,이월
2019-05-31,오창공구 티암,,0,0,0,0,이월
2019-05-31,오케이툴,,0,0,0,0,이월
2019-05-31,옥계철물점,,0,0,0,0,이월
2019-05-31,용건재,,0,0,0,0,이월
2019-05-31,용산종합건재,,0,0,0,0,이월
2019-05-31,우리산업안전물산,,0,0,0,0,이월
2019-05-31,우리장식철물,,0,0,0,0,이월
2019-05-31,우성닥트함석,,0,0,0,0,이월
2019-05-31,우일건재주식회사,,0,0,0,0,이월
2019-05-31,원주공구종합상사,,0,0,0,0,이월
2019-05-31,원주철물,,0,0,0,0,이월
2019-05-31,유일건철안전,,0,0,0,0,이월
2019-05-31,은혜종합상사,,0,0,0,0,이월
2019-05-31,이원건철,,0,0,0,0,이월
2019-05-31,[폐업]이천공구사,,0,0,0,0,이월
2019-05-31,이천베아링,,0,0,0,0,이월
2019-05-31,인동철물공구상사 주식회사,,0,0,0,0,이월
2019-05-31,일광기연,,0,0,0,0,이월
2019-05-31,일광보일러  철물,,0,0,0,0,이월
2019-05-31,일광종합상사,,0,0,0,0,이월
2019-05-31,일로철물,,0,0,0,0,이월
2019-05-31,일성철물건재,,0,0,0,0,이월
2019-05-31,일손철물공구,,0,0,0,0,이월
2019-05-31,장기종합건재,,0,0,0,0,이월
2019-05-31,전원철물,,0,0,0,0,이월
2019-05-31,전일안전공구,,0,0,0,0,이월
2019-05-31,정수건철,,0,0,0,0,이월
2019-05-31,제일고철상사,,0,0,0,0,이월
2019-05-31,제일전기,,0,0,0,0,이월
2019-05-31,[폐업]제일종합상사,,0,0,0,0,이월
2019-05-31,제주렌탈이앤씨,,0,0,0,0,이월
2019-05-31,조광P&C,,0,0,0,0,이월
2019-05-31,조광철물건재,,0,0,0,0,이월
2019-05-31,주덕공구볼트,,0,0,0,0,이월
2019-05-31,주식회사 고려철물건재,,0,0,0,0,이월
2019-05-31,주식회사 광개토산업,,0,0,0,0,이월
2019-05-31,주식회사 부일산업,,0,0,0,0,이월
2019-05-31,주식회사 신영건재,,0,0,0,0,이월
2019-05-31,주식회사 진천종합상사,,0,0,0,0,이월
2019-05-31,주식회사 태광전기,,0,0,0,0,이월
2019-05-31,주식회사 한국테크원,,0,0,0,0,이월
2019-05-31,주식회사건국종합상사,,0,0,0,0,이월
2019-05-31,[폐업]주식회사동양툴테크,,0,0,0,0,이월
2019-05-31,주식회사보성중공업,,0,0,0,0,이월
2019-05-31,주식회사부발건재,,0,0,0,0,이월
2019-05-31,주식회사성진이엔씨,,0,0,0,0,이월
2019-05-31,주식회사철물만돌이,,0,0,0,0,이월
2019-05-31,중부건재,,0,0,0,0,이월
2019-05-31,진도PVC,,0,0,0,0,이월
2019-05-31,진흥철물건재상사,,0,0,0,0,이월
2019-05-31,창대철물종합건재,,0,0,0,0,이월
2019-05-31,창성공구,,0,0,0,0,이월
2019-05-31,천재철물상사,,0,0,0,0,이월
2019-05-31,철물 DC 마트,,0,0,0,0,이월
2019-05-31,최배달건재 철물,,0,0,0,0,이월
2019-05-31,충남안전철물건재상사,,0,0,0,0,이월
2019-05-31,충북기업(주),,0,0,0,0,이월
2019-05-31,충청벤딩,,0,0,0,0,이월
2019-05-31,친구공구,,0,0,0,0,이월
2019-05-31,태광종합상사,,0,0,0,0,이월
