날짜,거래처,품목,수량,단가,공급가액,부가세,참조
2025-01-01,부성종합상사,입금  ,0.0,0.0,1017500.0,0.0,=입금
2025-01-02,(주)오성연마,출금[결제  ,0.0,0.0,-649000.0,0.0,=출금
2025-01-02,다원종합상사,"다이센 절단석 하드타입 @ 5""  ",600.0,1200.0,720000.0,72000.0,=외출
2025-01-02,현진툴링,TURBO Premium 절단석 @ 5인치  로젠택배 현불,1200.0,550.0,660000.0,66000.0,=외출
2025-01-03,연무철물,"티롤릿 절단석 (new)블루 @ 4""  ",100.0,1300.0,130000.0,13000.0,=외출
2025-01-03,연무철물,입금  ,0.0,0.0,143000.0,0.0,=입금
2025-01-03,리오더웨어하우스주식회사,"티롤릿 절단석 블루 @ 5""  ",150.0,1700.0,255000.0,25500.0,=외출
2025-01-03,연무 팔팔철물,"M3 2 절단석 @ 4""  ",100.0,600.0,60000.0,0.0,=외출
2025-01-03,연무 팔팔철물,"M3 2 절단석 @ 5""  ",100.0,800.0,80000.0,0.0,=외출
2025-01-03,연무 팔팔철물,입금  ,0.0,0.0,140000.0,0.0,=입금
2025-01-06,프라이스다운,"악티록스디스크(만조+패드)@5""*#36  창원 덕정종합건설 권효민",3.0,29000.0,87000.0,0.0,=외출
2025-01-06,프라이스다운,"M3 2 절단석 @ 5""  안성 (주)풍산가설산업 이범근",50.0,1100.0,55000.0,0.0,=외출
2025-01-06,중부건재,"페어드 절단석 @ 5""  로젠택배 현불",400.0,1750.0,700000.0,70000.0,=외출
2025-01-06,한국레즈본,"레즈본 절단석 @ 4""  공구팩토리 직송",600.0,420.0,-252000.0,-25200.0,=외입
2025-01-06,한국레즈본,화물비  ,1.0,4000.0,-4000.0,-400.0,=외입
2025-01-06,공구팩토리,"레즈본 절단석 @ 4""  한국레즈본 화물직송",600.0,550.0,330000.0,33000.0,=외출
2025-01-06,티롤릿코리아,"티롤릿 절단석 @ 16""  민테크 직송",60.0,4300.0,-258000.0,-25800.0,=외입
2025-01-06,민테크,"티롤릿 절단석 @ 16""  ",60.0,5000.0,300000.0,30000.0,=외출
2025-01-06,현대철물공구건재,입금  ,0.0,0.0,657250.0,0.0,=입금
2025-01-06,(주)다원산업,벨로체 연마석 @ 4인치*6t  대신택배 현불,200.0,600.0,120000.0,12000.0,=외출
2025-01-06,(주)다원산업,"아카시 절단석 프리미엄 @ 4""*16MM  대신택배 현불",600.0,900.0,540000.0,54000.0,=외출
2025-01-06,(주)다원산업,"아카시 절단석 프리미엄 @ 5""*16MM  대신택배 현불",100.0,1000.0,100000.0,10000.0,=외출
2025-01-06,유영찬,"입금[다판다자재,칠성철물  ",0.0,0.0,182500.0,0.0,=입금
2025-01-06,다판다철물점,"다이센 절단석 하드타입 @ 5""  ",100.0,1200.0,120000.0,0.0,=견적
2025-01-06,칠성철물,"다이센 절단석 하드타입 @ 5""  ",100.0,1100.0,110000.0,0.0,=견적
2025-01-06,칠성철물,"베스트 절단석 @ 14""  ",25.0,2600.0,65000.0,0.0,=견적
2025-01-07,풍성한상사,"뉴 레즈본2 절단석 @ 4""  ",100.0,520.0,52000.0,5200.0,=외출
2025-01-07,풍성한상사,"뉴 레즈본2 절단석 @ 5""  ",600.0,620.0,372000.0,37200.0,=외출
2025-01-07,풍성한상사,"티롤릿 터보날 타일용 @ 4""  ",10.0,5000.0,50000.0,5000.0,=외출
