품목코드,품목명,카테고리,규격
P-024,3M 베벨디스크 BR #180  4인치  ,베벨디스크,4인치
P-025,3M 베벨디스크 BR #400  4인치  ,베벨디스크,4인치
P-026,3M 베벨디스크 BR #320  4인치  ,베벨디스크,4인치
P-027,3M 마스크 방진1급 8822  ,방진마스크,
P-028,3M 마스크 방진2급 8710  ,방진마스크,
P-029,3M 장갑 수퍼그립200  L사이즈,장갑,L
P-030,3M 장갑 수퍼그립200  M사이즈,장갑,M
P-031,3M 장갑 수퍼그립200  L사이즈,장갑,S
P-032,3M 절단석 01994(new)  4인치  ,절단석,4인치
P-033,3M 절단석 47041(큐3) 4인치  ,절단석,4인치
P-034,3M 절단석 47420(큐3) 5인치  ,절단석,5인치
P-035,3M 절단석 51791(실버) 5인치  ,절단석,5인치
P-036,3M 절단석 53070(실버) 4인치  ,절단석,4인치
P-037,3M 절단석 프리미엄 14인치  ,절단석,14인치
P-038,3M 푸른돌 #24 4인치*6T  ,연마석,4인치
P-039,3M 푸른돌 #36 4인치*3T  ,연마석,4인치
P-040,3M 푸른돌 #60 4인치*2T  ,연마석,4인치
P-041,3M 푸른돌 #80 4인치*2T  ,연마석,4인치
P-042,EMK 연마석 5인치 *3T  ,연마석,5인치
P-043,EMK 연마석 5인치 *6T  ,연마석,5인치
P-044,GMG 장갑 에어그립 KR-L2001A L사이즈  ,장갑,L
P-045,GMG 장갑 에어그립 KR-L2001A M사이즈  ,장갑,M
P-046,GMG 장갑 웜그립L2005W L사이즈  ,장갑,L
P-047,GMG 장갑 웜그립L2005W XL사이즈  ,장갑,XL
P-013,M3 Ⅱ 절단석  4인치,절단석,4인치
P-014,M3 Ⅱ 절단석  5인치,,
P-015,SAM 14인치 절단석   ,,14인치
P-18,TU-PLUS 절단석105701 7인치  ,,
P-19,TU 플랩 DISC #60 4인치  ,플랩디스크,4인치
P-20,TU 플랩 DISC #80 4인치  ,플랩디스크,4인치
P-21,TU-FLEX 옵셋 #24 4인치*6T ,연마석,4인치
P-22,TU-FLEX 옵셋 #60 4인치*3T ,연마석,4인치
P-23,TU-FLEX 옵셋 #80 4인치*3T ,연마석,4인치
P16,TU-PLUS 절단석101401 4인치  ,절단석,4인치
P17,TU-PLUS 절단석102501 5인치  ,절단석,5인치
P-001,TURBO Premium 절단석 4인치,절단석,4인치
P-002,TURBO Premium 절단석 5인치,절단석,5인치
P-005,Z세라믹 절단석  4인치  ,절단석,5인치
P-006,Z세라믹 절단석  5인치  ,절단석,5인치
P-048,계양 그라인더 @ ACT-100SN  ,그라인더,4인치
P-011,뉴 레즈본2 절단석 4인치 ,절단석,4인치
P-012,뉴 레즈본2 절단석 5인치 ,절단석,5인치
P-049,다잘라 다용도 컷팅날 4인치,다이아몬드날,4인치
P-050,다잘라 다용도 컷팅날 5인치,다이아몬드날,5인치
P-051,디월트 충전임팩드DCF845P2T-KR(20V  ,충전임팩,
P-052,레즈본 연마석 #60 4인치*3T  ,연마석,4인치
P-053,레즈본 절단석 16인치  ,절단석,16인치
P-054,레즈본 절단석 4인치,절단석,4인치
P-055,레즈본 절단석 5인치,절단석,5인치
P-056,레즈본 플랩디스크 4인치*#60  ,플랩디스크,4인치
P-057,백마절단석 5인치  ,절단석,5인치
P-058,백마절단석 4인치 105*16  ,절단석,4인치
P-059,베스트 절단석 14인치  ,절단석,14인치
P-060,베스트 절단석 5인치  ,절단석,5인치
P-061,벨로체 연마석 @ 4인치*6t  ,연마석,4인치
P-062,벨로체절단석 5인치 ,절단석,5인치
P-063,볼케이노 절단석 소프트타입 5인치  ,절단석,5인치
P-064,스틸포스 금속용톱날 10인치 (TH-SC255SB)  ,금속날,10인치
P-065,스포르팅 절단석 4인치 * 16MM  ,절단석,4인치
P-066,스포르팅 절단석 5인치 * 16MM  ,절단석,5인치
P-067,아임삭 충천임팩렌치(브러쉬리스) BL18X705  ,임팩렌치,
P-009,아카시 칸 절단석 4인치,절단석,4인치
P-010,아카시 칸 절단석 5인치,절단석,
P-007,아카시 프리미엄 절단석 4인치  ,절단석,4인치
P-008,아카시 프리미엄 절단석 5인치  ,절단석,
P-068,악티록스 디스크 AF799 #36 4인치 50개포장,화이버디스크,4인치
P-069,악티록스 디스크 AF799 #36 4인치 10개포장,화이버디스크,4인치
P-070,악티록스 AF799 #36 4인치 10개포장+만조1+패드1,화이버디스크,4인치
P-071,악티록스 만조  ,만조,
P-072,악티록스 백업패드 4인치 ,백업패드,4인치
P-073,악티록스 백업패드 4인치  ,백업패드,5인치
P-074,악티록스 AF799 #60 4인치 10개포장+만조1+패드1,화이버디스크,4인치
P-075,악티록스 AF799 #36 5인치 10개포장+만조1+패드1,화이버디스크,5인치
P-076,악티록스 AF799 #60 5인치 10개포장+만조1+패드1,화이버디스크,5인치
P-077,악티록스디스크 5인치*#36  1장,화이버디스크,5인치
P-078,악티록스디스크 5인치*#60  1장,화이버디스크,5인치
P-079,알파연마디스크샌더빼빠 5인치-8H#120 ,화이버디스크,5인치
P-080,에이스 옵셑 5인치*3t  ,샌딩빼빠,5인치
P-081,에이스 절단석 14인치 ,절단석,14인치
P-082,에이스 절단석 4인치,절단석,4인치
P-083,에이스 절단석 5인치,절단석,5인치
P-084,에이스 절단석 7인치,절단석,7인치
P-085,오아시스절단석 4인치,절단석,4인치
P-086,오아시스절단석 5인치,절단석,5인치
P-087,오아시스절단석 7인치,절단석,7인치
