품목코드,품목명,카테고리,규격,매입단가,판매단가,거래횟수,사용여부
,"3D 절단석 @ 4""*16MM",,,450.0,500.0,0,Y
,"3D 절단석 @ 5""*16MM",,,0.0,0.0,0,Y
,"3D골드 절단석 @ 4""*16MM",,,400.0,700.0,0,Y
,"3D골드 절단석 @ 5""*16MM",,,500.0,900.0,0,Y
,"3M DISC 982C #36 @ 4""",,,0.0,0.0,0,Y
,"3M DISC CNS XT(PRO) @ 4""",,,3300.0,3500.0,0,Y
,"3M DISC S/C A-CRS(M10홀더) @ 4""",,,0.0,0.0,0,Y
,"3M DISC S/C A-VFN(M10홀더) @ 4""",,,0.0,0.0,0,Y
,"3M DISC S/C LGB HD A-CRS @ 4""",,,0.0,0.0,0,Y
,"3M DISC S/C LGB SD A-CRS @ 4""",,,0.0,0.0,0,Y
,"3M DISC 베벨 BL #120 @ 4""",,,6500.0,6500.0,0,Y
,"3M DISC 베벨 BR #180 @ 4""",,,3750.0,3850.0,0,Y
,"3M DISC 베벨 GR #400 @ 4""",,,3900.0,3850.0,0,Y
,"3M DISC 베벨 RD #320 @ 4""",,,3750.0,3850.0,0,Y
,"3M DISC 양모 @ 4""",,,3750.0,3800.0,0,Y
,"3M DISC 패드 982C @ 4""",,,0.0,0.0,0,Y
,"3M DISC 플랩 769F #40 @ 4""",,,0.0,1700.0,0,Y
,"3M DISC 플랩 769F #60 @ 4""",,,0.0,0.0,0,Y
,"3M DISC 플랩 769F #80 @ 4""",,,0.0,0.0,0,Y
,"3M FLOOR PAD #5100(적색) @ 18""",,,0.0,0.0,0,Y
,"3M FLOOR PAD #7200(흑색) @ 18""",,,0.0,0.0,0,Y
,3M MRO 기계세정제 @ 420ML,,,0.0,0.0,0,Y
,3M MRO 레몬세정제 @ 420ML,,,0.0,0.0,0,Y
,3M MRO 방청유 K-70 @ 230G,,,1950.0,1950.0,0,Y
,3M MRO 방청유 PL-5 @ 360ML,,,0.0,0.0,0,Y
,3M MRO 스프레이 #77 @ 455ML,,,6500.0,6000.0,0,Y
,3M MRO 스프레이 #99 @,,,0.0,6000.0,0,Y
,3M MRO 실리콘 루브리컨트 @ 255G,,,0.0,0.0,0,Y
,3M MRO 접착제거제 @ 200ML,,,0.0,0.0,0,Y
,3M MRO 크리너(프 MS061Z) @ 420ML,,,0.0,0.0,0,Y
,3M 귀덮개 H7A,,,0.0,0.0,0,Y
,3M 귀덮개 H7P3E(보호구),,,0.0,0.0,0,Y
,3M 귀덮개 H9A,,,0.0,0.0,0,Y
,3M 귀마개 1100,,,140.0,160.0,0,Y
,3M 귀마개 1110,,,320.0,350.0,0,Y
