업체명,지역,업종,전화번호,주소,담당자,메모,영업단계,등록일
정동종합건재,강원특별자치도 강릉시,건자재점,,강원특별자치도 강릉시 강동면 정동역길 84,,G21001 / 강동면,미방문,
클린유통건재,강원특별자치도 강릉시,건자재점,,강원특별자치도 강릉시 강동면 율곡로 1948,,G20404 / 강동면,미방문,
오호철물점,강원특별자치도 고성군,철물점,,강원특별자치도 고성군 죽왕면 동해대로 5907,,G21001 / 죽왕면,미방문,
진흥건재철물,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 정선읍 봉양6길 36-1,,G21001 / 정선읍,미방문,
봉양철물건재,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 정선읍 봉양2길 28,,G21001 / 정선읍,미방문,
보성철물자재,강원특별자치도 평창군,철물점,,강원특별자치도 평창군 진부면 진부중앙로 37,,G21001 / 진부면,미방문,
늘푸른농자재마트,강원특별자치도 평창군,농자재점,,강원특별자치도 평창군 진부면 경강로 4058,,G22199 / 진부면,미방문,
현대공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 지정면 보통로 325,,S20301 / 지정면,미방문,
남산철물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 남산면 한치로 90,,G21001 / 남산면,미방문,
신화철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 치악로 1959,,G21001 / 태장1동,미방문,
선진정비공업사,강원특별자치도 춘천시,공구점,,강원특별자치도 춘천시 공단로70번길 17,,S20301 / 후평1동,미방문,
동명철물상사,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 옥계면 현내시장길 74-3,,G21001 / 옥계면,미방문,
신진건재철물상사,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 남면 무릉1로 92,,G21001 / 남면,미방문,
믿음농자재,강원특별자치도 횡성군,농자재점,,강원특별자치도 횡성군 둔내면 둔방로14번길 69,,G21001 / 둔내면,미방문,
닭바위공업사,강원특별자치도 홍천군,공구점,,강원특별자치도 홍천군 홍천읍 공작산로 85,,S20501 / 홍천읍,미방문,
금성철물,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 황지북3길 1,,G21001 / 황지동,미방문,
일흥공업사,강원특별자치도 철원군,공구점,,강원특별자치도 철원군 서면 와수1로 42,,S20301 / 서면,미방문,
원투공업사,강원특별자치도 화천군,공구점,,강원특별자치도 화천군 사내면 창안산길 2,,S20301 / 사내면,미방문,
대호철물점,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 보래미길 51,,G21001 / 포남2동,미방문,
원흥공업사,강원특별자치도 영월군,공구점,,강원특별자치도 영월군 주천면 주천로58번길 28,,S20301 / 주천면,미방문,
산솔배관건재,강원특별자치도 홍천군,건자재점,,강원특별자치도 홍천군 홍천읍 구시울1길 9,,G21001 / 홍천읍,미방문,
중앙공업사,강원특별자치도 평창군,공구점,,강원특별자치도 평창군 진부면 석두산길 87,,S20401 / 진부면,미방문,
미림공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 문막읍 원문로 1466,,S20301 / 문막읍,미방문,
중앙공업사,강원특별자치도 홍천군,공구점,,강원특별자치도 홍천군 남면 시동안로 226-7,,S20401 / 남면,미방문,
경북철물,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 태백로 926,,G21001 / 황지동,미방문,
한국철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 평원로 85,,G21001 / 중앙동,미방문,
한신종합건재,강원특별자치도 철원군,건자재점,,강원특별자치도 철원군 갈말읍 명성로 162,,G21001 / 갈말읍,미방문,
공룡철물전기공사,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 봉천길 4,,G21001 / 봉산동,미방문,
일등종합건재,강원특별자치도 강릉시,건자재점,,강원특별자치도 강릉시 구정면 정등로 54,,G21099 / 구정면,미방문,
현대철물，건재,강원특별자치도 원주시,건자재점,,강원특별자치도 원주시 흥업면 원문로 784,,G21001 / 흥업면,미방문,
계촌약속철물건재흙집상담,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 방림면 계촌길 65,,G21001 / 방림면,미방문,
신동철물,강원특별자치도 정선군,철물점,,강원특별자치도 정선군 신동읍 의림로 290,,G21001 / 신동읍,미방문,
전원철물공구점,강원특별자치도 홍천군,철물점,,강원특별자치도 홍천군 홍천읍 너브내길 41,,G21001 / 홍천읍,미방문,
사팔철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 중앙시장2길 44,,G21001 / 중앙동,미방문,
두리앵글.철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 북원로2475번길 22-9,,G21001 / 우산동,미방문,
서원철물건재,강원특별자치도 횡성군,건자재점,,강원특별자치도 횡성군 서원면 경강로 815,,G21001 / 서원면,미방문,
삼일공업사,강원특별자치도 평창군,공구점,,강원특별자치도 평창군 평창읍 송학로 62,,S20301 / 평창읍,미방문,
황지철물,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 시장남길 27,,G21001 / 황지동,미방문,
강원종합철물건재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 평창읍 군청길 31,,G21001 / 평창읍,미방문,
대장철물,강원특별자치도 평창군,철물점,,강원특별자치도 평창군 평창읍 평창시장1길 5,,G21001 / 평창읍,미방문,
철물DC마트,강원특별자치도 홍천군,철물점,,강원특별자치도 홍천군 홍천읍 홍천로 710,,G21001 / 홍천읍,미방문,
대승공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 우무개2길 2,,S20301 / 우산동,미방문,
유피아공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 문막읍 원문로 2198,,S20301 / 문막읍,미방문,
현대농기구,강원특별자치도 철원군,농자재점,,강원특별자치도 철원군 갈말읍 도창로 8,,G21001 / 갈말읍,미방문,
석사철물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 공지로 98,,G21001 / 석사동,미방문,
동현철물,강원특별자치도 삼척시,철물점,,강원특별자치도 삼척시 근덕면 교가길 5,,G21001 / 근덕면,미방문,
동호철물,강원특별자치도 동해시,철물점,,강원특별자치도 동해시 발한로 137,,G21001 / 동호동,미방문,
동아공업사,강원특별자치도 태백시,공구점,,강원특별자치도 태백시 편들길 72,,S20301 / 문곡소도동,미방문,
부론공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 부론면 법천시장길 42-2,,S20301 / 부론면,미방문,
미래철물,강원특별자치도 정선군,철물점,,강원특별자치도 정선군 여량면 서동로 2897,,G21001 / 여량면,미방문,
대성철물,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 황지로 291-1,,G21001 / 황연동,미방문,
대성건재.공구,강원특별자치도 홍천군,공구점,,강원특별자치도 홍천군 북방면 홍천로 165,,G21001 / 북방면,미방문,
우주카공업사,강원특별자치도 횡성군,공구점,,강원특별자치도 횡성군 횡성읍 입석로 79,,S20301 / 횡성읍,미방문,
대창철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 송림길 48-5,,G21001 / 단구동,미방문,
중앙철물점,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 중앙로 87,,G21001 / 약사명동,미방문,
역전철물건재,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 정선읍 녹송로 109,,G21001 / 정선읍,미방문,
동양철물건재,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 여량면 서동로 2932,,G21001 / 여량면,미방문,
진성공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 문막읍 원문로 2100,,S20301 / 문막읍,미방문,
춘천철물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 중앙로 85-1,,G21001 / 약사명동,미방문,
상호철물자재,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 평원로 32-1,,G21001 / 중앙동,미방문,
현대만종공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 호저면 운동들2길 21-10,,S20301 / 호저면,미방문,
